Sales.Id;Sales.date;Sales.price;Sales.property_type;Sales.surface;Sales.longitude;Sales.latitude;Sales.postcodes;Sales.area;Sales.bathrooms;Sales.beds;Sales.ber_id;Sales.parking;Sales.description;Sales.central_heating;Sales.alarm;Sales.gas_heating;Sales.oil_heating;attic.conversion;ensuites;PriceHistory.date0;PriceHistory.price0;PriceHistory.date1;PriceHistory.price1;PriceHistory.date2;PriceHistory.price2;PriceHistory.date3;PriceHistory.price3;PriceHistory.date4;PriceHistory.price4;PriceHistory.date5;PriceHistory.price5;PriceHistory.date6;PriceHistory.price6;PriceHistory.date7;PriceHistory.price7;PriceHistory.date8;PriceHistory.price8;PriceHistory.date9;PriceHistory.price9;PriceHistory.date10;PriceHistory.price10;PriceHistory.date11;PriceHistory.price11;PriceHistory.date12;PriceHistory.price12;PriceHistory.date13;PriceHistory.price13;PriceHistory.date14;PriceHistory.price14;PriceHistory.date15;PriceHistory.price15
255674;"2017-07-18 00:00:00;"184998;"Residential Sale;"100.3;"-7.1100702;"52.2593197;";"Waterford;"3;"3;"A2;"False;"New Dwelling house /Apartment;"False;"False;"False;"False;"False;"False";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
255532;"2017-07-17 00:00:00;"194999;"Residential Sale;"116.1;"-8.2770715;"52.0785537;";"Rathcormac;"3;"4;"B3;"False;"New Dwelling house /Apartment;"False;"False;"False;"False;"False;"False";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
256260;"2017-07-25 00:00:00;"280000;"Residential Sale;"135.0;"-8.9651149;"51.9118277;";"Macroom;"3;"4;"B3;"False;"Second-Hand Dwelling house /Apartment;"False;"False;"False;"False;"False;"False";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
253462;"2017-07-04 00:00:00;"222500;"Residential Sale;"120.8;"-6.5214635;"52.3137428;";"Clonlara;"2;"4;"C3;"False;"Second-Hand Dwelling house /Apartment;"False;"False;"False;"False;"False;"False";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
249294;"2017-05-19 00:00:00;"202030;"Residential Sale;"220.0;"-7.7987539;"55.0035349;";"Kilmacrennan;"3;"4;"C2;"False;"New Dwelling house /Apartment;"False;"False;"False;"False;"False;"False";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
248189;"2017-05-12 00:00:00;"195000;"Residential Sale;"100.0;"-6.181372;"52.7968892;"Y14 HP68;"Arklow;"3;"3;"C2;"False;"Second-Hand Dwelling house /Apartment;"False;"False;"False;"False;"False;"False";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
252020;"2017-06-30 00:00:00;"107500;"Residential Sale;"120.0;"-7.8665882;"52.5209567;";"Cashel;"1;"3;"G;"False;"Second-Hand Dwelling house /Apartment;"False;"False;"False;"False;"False;"False";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
243216;"2017-03-22 00:00:00;"220000;"Residential Sale;"113.0;"-9.7945261;"52.1121957;";"Killorglin;"1;"4;"D2;"False;"Second-Hand Dwelling house /Apartment;"False;"False;"False;"False;"False;"False";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
249796;"2017-06-08 00:00:00;"188999;"Residential Sale;"99.4;"-7.1083672;"52.2572893;"X91 H2NP;"Dungarvan;"1;"3;"A3;"False;"New Dwelling house /Apartment;"False;"False;"False;"False;"False;"False";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240512;"2017-03-01 00:00:00;"235000;"Residential Sale;"111.3;"-9.2324535;"51.4954882;";"Castletownsend;"1;"4;"E1;"False;"Second-Hand Dwelling house /Apartment;"False;"False;"False;"False;"False;"False";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
248856;"2017-05-23 00:00:00;"205000;"Residential Sale;"101.0;"-6.1725289;"52.7866415;"Y14 YX77;"Arklow;"2;"3;"C1;"False;"Second-Hand Dwelling house /Apartment;"False;"False;"False;"False;"False;"False";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
